,Company,Revenue,Gross Margin (%),EBITDA Margin (%),Net Profit Margin (%),ROE,ROIC,ROA,Net Debt to EBITDA,D/E,10Y Revenue Growth (per Share),10Y Net Income Growth (per Share),5Y Revenue Growth (per Share),5Y Net Income Growth (per Share),3Y Revenue Growth (per Share),3Y Net Income Growth (per Share),P/E,EV/EBITDA,P/B,Sector,Market Cap,Price Change (%),Market Capitalisation,Sector Market Cap,year
129,VLGEA,1634904000.0,0.2722,0.043,0.0153,0.0922,0.1052,0.0956,-0.6198,0.1635,0.0395,0.0336,0.0403,0.0293,0.0269,-0.017,15.9697,5.6779,1.644,Consumer Defensive,446723597.22,-22.114323583193265,0.03021348391616158,1478557052406.134,2016
131,JBSS,952059000.0,0.1444,0.07,0.0319,0.121,0.1032,0.1053,0.642,0.1789,0.0447,0.0,0.0605,0.5906,0.0783,0.1054,15.7306,7.8210000000000015,1.9065,Consumer Defensive,477679423.83,-6.6797069509036175,0.03230713505797068,1478557052406.134,2016
134,JJSF,992781000.0,0.3067,0.158,0.0765,0.1191,0.1319,0.1738,-0.9715,0.0025,0.0666,0.0981,0.0596,0.0668,0.0485,0.0593,29.0688,13.0825,3.4601,Consumer Defensive,2207399230.67,15.787702346886373,0.14929415317980343,1478557052406.134,2016
136,FC,200055000.0,0.6756,0.125,0.0351,0.0749,0.0657,0.1355,1.1293,0.4126,-0.0033,-0.1047,0.0733,0.1081,0.0675,-0.1714,34.5532,10.345,2.4259,Consumer Defensive,230228032.72,0.9732397584656116,0.015571129456610263,1478557052406.134,2016
137,LNDC,476918000.0,0.14,-0.017,-0.0244,-0.0552,-0.0451,-0.0772,-6.4366,0.2902,0.0644,0.0,0.1096,0.0,0.0103,0.0,0.0,0.0,1.4891,Consumer Defensive,313508153.94,-8.695650671590574,0.021203656188295988,1478557052406.134,2016
141,BREW,202507000.0,0.2943,0.056,-0.0016,-0.0027,0.0014,-0.0024,2.5585,0.2445,0.0933,0.0,0.0586,0.0,0.0362,0.0,0.0,31.7908,2.7525,Consumer Defensive,329302018.8,12.280703711243039,0.022271850671173588,1478557052406.134,2016
148,SENEA,1279567000.0,0.1177,0.08900000000000001,0.0441,0.1392,0.0747,0.1217,2.7559,0.7927,0.0001,0.059,0.0504,0.3056,0.0313,0.1422,6.1487,5.7801,0.8466,Consumer Defensive,343012338.0,-23.88614148862701,0.02319912765231466,1478557052406.134,2016
151,BRID,140063000.0,0.3942,0.099,0.0555,0.1997,0.0995,0.1663,-0.5033,0.0,0.0137,0.2127,0.0389,0.0,0.0306,0.3902,13.7209,7.2139,2.7527,Consumer Defensive,107106617.6,9.035620687855193,0.007243996261469906,1478557052406.134,2016
154,NAII,114201000.0,0.2212,0.134,0.0836,0.1777,0.2175,0.1841,-1.2871,0.0,0.0109,0.1326,0.1737,0.1539,0.2418,0.8567,7.5616,3.6555,1.3465,Consumer Defensive,75829642.08,-10.043664957965447,0.005128624692337601,1478557052406.134,2016
157,UG,10776867.0,0.5469,0.36,0.2395,0.1868,0.6666,0.1876,-2.7407,0.0,0.0034,0.0014,-0.0554,-0.1135,-0.1124,-0.2409,27.5893,15.5391,5.136,Consumer Defensive,70982228.55,25.68632376304483,0.004800777111338846,1478557052406.134,2016
158,LWAY,123879000.0,0.2828,0.07200000000000001,0.0281,0.0719,0.0795,0.087,-0.1907,0.1472,0.1663,0.0227,0.125,0.044,0.0873,-0.1098,50.9091,20.1737,3.7385,Consumer Defensive,180775089.6,-28.571427355007227,0.01222645344025211,1478557052406.134,2016
159,ACU,124574371.0,0.3657,0.087,0.047,0.1269,0.0719,0.0973,2.5053,0.7141,0.087,0.047,0.0984,0.1438,0.1016,0.12,13.4943,9.826,1.7122,Consumer Defensive,78967681.25,0.18169281656637992,0.005340861289152943,1478557052406.134,2016
160,ALCO,144196000.0,0.2431,0.262,0.0485,0.0403,0.0316,0.0162,5.1315,1.1559,0.0482,-0.009000000000000001,0.0534,-0.0266,0.077,-0.3207,31.9762,11.0421,1.2873,Consumer Defensive,223355270.1,10.742236972432352,0.0151063004120485,1478557052406.134,2016
165,CYAN,31840000.0,0.3727,0.023,-0.138,-0.2465,-0.0201,-0.1806,8.7456,0.4301,0.1035,0.0,0.1266,0.0,0.0426,0.0,0.0,46.6735,1.5632,Consumer Defensive,27877029.06,-16.80850543604528,0.0018854212635646516,1478557052406.134,2016
172,JVA,78948228.0,0.1505,0.055,0.028,0.0902,0.0828,0.0924,0.857,0.2836,0.0344,0.1113,-0.1322,0.2004,-0.1485,0.0,14.3889,8.027999999999999,1.262,Consumer Defensive,31216145.94,-7.792200553998094,0.002111257451256299,1478557052406.134,2016
173,LINC,285559000.0,0.4942,-0.038,-0.0991,-0.5153,-0.2226,-0.5269,-1.3289,0.7639,-0.0007,0.0,-0.1011,0.0,0.0833,0.0,0.0,0.0,0.8348,Consumer Defensive,48472889.4,3.5897400785167384,0.0032783915454001255,1478557052406.134,2016
175,MTEX,180304000.0,0.7972,0.005,-0.0033,-0.0151,0.034,-0.0231,-29.9162,0.0511,-0.0799,0.0,-0.0241,0.0,0.0006,0.0,0.0,27.8386,1.3777,Consumer Defensive,54462814.36,-23.486416350935702,0.003683511182160322,1478557052406.134,2016
176,NATR,341159000.0,0.7334,0.046,0.0063,0.0162,0.053,0.0204,-1.5521,0.0749,-0.0245,0.0,-0.0509,-0.3679,-0.0764,-0.5301,132.2727,15.9917,2.0585,Consumer Defensive,272875268.7,-19.824743256264977,0.01845551162573914,1478557052406.134,2016
178,NHTC,287728000.0,0.8092,0.224,0.1915,0.6682,0.0,0.6444,-1.9991,0.0,0.0435,0.0,0.5408,0.8636,0.7509,1.3634,5.0517,2.2815,3.3268,Consumer Defensive,275971942.2,-33.76833183379683,0.01866495051718811,1478557052406.134,2016
179,OBCI,36205444.0,0.3832,0.112,0.0579,0.0931,0.1019,0.0961,-0.9232,0.0146,0.0186,0.1374,-0.0013,-0.053,0.0112,0.1024,16.2609,7.5175,1.5194,Consumer Defensive,34209544.38,17.590019343070896,0.0023137114881247906,1478557052406.134,2016
183,RELV,45512836.0,0.7798,0.01,-0.0137,-0.0419,-0.0347,-0.0615,-1.4734,0.1949,-0.0681,0.0,-0.0993,0.0,-0.1329,0.0,0.0,15.7515,0.5471,Consumer Defensive,8175950.41,7.6749473084155975,0.0005529682061774243,1478557052406.134,2016
184,RMCF,40457000.0,0.3985,0.14300000000000002,0.1094,0.2395,0.1361,0.3292,-0.246,0.2752,0.0487,0.0197,0.0594,0.0305,0.0474,0.4562,13.7467,10.1315,3.2582,Consumer Defensive,60204172.76,22.83235696921389,0.00407181939053529,1478557052406.134,2016
190,WVVI,19425412.0,0.6291,0.295,0.1353,0.0759,0.0719,0.0637,-0.1111,0.1464,0.0224,0.0691,0.0925,0.2461,0.1211,0.2114,18.6512,6.8542,1.1541,Consumer Defensive,39937875.7,2.8678245524746777,0.0027011386293824095,1478557052406.134,2016
196,FCX,14830000000.0,-0.1823,-0.035,-0.2867,-0.7027,-0.0636,-0.1443,-22.8333,2.6487,-0.0294,0.0,-0.1259,0.0,-0.1862,0.0,0.0,0.0,3.1996,Basic Materials,18764064842.9,37.59069973364564,3.7973431802476596,494136662193.2818,2016
197,NUE,16208122000.0,0.125,0.127,0.0491,0.1011,0.0821,0.0866,1.0538,0.5529,0.0042,-0.0809,-0.0425,0.0035,-0.0527,0.1769,24.0363,10.3111,2.4093,Basic Materials,18984900268.38,9.432384213608104,3.8420343441252385,494136662193.2818,2016
198,X,10261000000.0,0.0636,0.03,-0.0429,-0.1935,-0.0348,-0.0733,4.9542,1.3329,-0.077,0.0,-0.155,0.0,-0.2095,0.0,0.0,24.5165,2.6324,Basic Materials,5986054076.73,2.173745110081471,1.211416706091027,494136662193.2818,2016
211,OLN,5550600000.0,0.1092,0.125,-0.0007,-0.0017,0.0087,-0.0009,4.9669,1.5916,0.0895,0.0,0.0651,0.0,0.022,0.0,0.0,11.1789,1.8882,Basic Materials,4293777159.84,40.48284533443493,0.8689452712902503,494136662193.2818,2016
212,JCI,20837000000.0,0.2713,0.027000000000000003,-0.0417,-0.036000000000000004,0.0156,-0.1354,21.331,0.529,-0.0581,0.0427,-0.1249,0.0424,-0.2392,0.1134,0.0,73.3,1.2304,Basic Materials,29674316354.76,-7.887685248248808,6.0052853036743254,494136662193.2818,2016
214,CMC,3596068000.0,0.1597,0.07200000000000001,0.0152,0.0401,0.0447,0.0258,2.1539,0.7836,-0.0631,-0.1671,-0.1392,0.0,-0.1777,-0.1026,32.3333,9.072,1.3012,Basic Materials,1779035685.76,-1.4820654389495218,0.36002908140099293,494136662193.2818,2016
220,CENX,1319100000.0,-0.0046,-0.108,-0.1913,-0.3336,-0.1153,-0.196,-0.856,0.3377,-0.109,0.0,0.0001,0.0,-0.0261,0.0,0.0,0.0,0.9851,Basic Materials,745367024.72,129.43923395891468,0.15084228347105508,494136662193.2818,2016
221,HL,645957000.0,0.2849,0.366,0.0953,0.0416,0.0333,0.028,1.3286,0.3466,0.0498,-0.1212,-0.0034,-0.2161,0.1167,0.0,34.375,10.5263,1.4691,Basic Materials,2174077812.5,-27.64213456812521,0.43997500668137196,494136662193.2818,2016
